target_sent,context_len_uninterr,PPL_base,PPL_w_context_uninterr
0,0,0,0
"<|endoftext|>Ask any young couple how long their marriage will last, and chances are, they'll say forever, says Clark University psychologist Jeffrey Jensen Arnett, PhD, an expert on emerging adulthood.",41,576.879638671875,576.879638671875
"<|endoftext|>In the latest , he found that 86 percent of the more than 1,000 18- to 29-year-old Americans surveyed expect their marriages to last a lifetime.",74,68.60160064697266,27.47127914428711
"<|endoftext|>The participants who didn't, Arnett presumes, don't plan to marry at all.",89,249.2115020751953,41.994686126708984
<|endoftext|>Yet statistics suggest that many of these young optimists are only kidding themselves.,101,297.771728515625,88.78646087646484
"<|endoftext|>According to the latest national data from the National Center for Health Statistics (NCHS), the likelihood that a couple will celebrate their 20th wedding anniversary today isn't much greater than a coin toss: 52 percent for women and 56 percent for men.",147,95.0635757446289,26.945789337158203
"<|endoftext|>Although the rate of divorce has declined slowly and steadily since the early 1980s, the rate of marriage has diminished rapidly, with more people choosing to marry later in life (see ).",181,37.4742431640625,18.04180145263672
"<|endoftext|>As a result, experts routinely estimate that between 40 percent and 50 percent of marriages today will end in divorce.",201,83.3504638671875,14.050517082214355
"<|endoftext|>For decades, psychologists have been trying to answer the key question: What's going on when two people who once said ""I do"" to a lifetime together decide they're better off apart?",238,232.46640014648438,74.82432556152344
"<|endoftext|>Now, thanks to longitudinal studies of thousands of couples and emerging research on previously understudied partnerships, one answer is becoming more apparent: Why some couples stick together isn't so much a coin toss as a science.",277,223.8374481201172,122.0586929321289
"<|endoftext|>""Today, we have a pretty good idea of what's likely to make for a good marriage,"" says Stony Brook University researcher Arthur Aron, PhD.",308,109.93310546875,38.60131072998047
"<|endoftext|>Some of those factors, including ethnic background and socioeconomic status, are beyond a couple's control.",327,126.86504364013672,38.53717041015625
"<|endoftext|>But, say psychologists, there are many behaviors, such as how a couple talks and fights and even the type of dates they go on, that can be learned and practiced — and can give a pair a fighting chance at 'til death do they part.",376,169.08766174316406,92.38037872314453
"<|endoftext|>Several demographic factors predict how well a marriage might fare, according to NCHS data.",390,839.0171508789062,107.82052612304688
"<|endoftext|>One is ethnicity: Asian women and foreign-born Hispanic men, for example, have the highest chance of the demographic groups studied that their marriages will last 20 years (70 percent), while black women have the lowest rate of reaching the two-decade mark (37 percent).",444,60.1804313659668,37.756221771240234
"<|endoftext|>For white men and women as well as black men, the chances are just more than 50 percent, NCHS reports.",465,149.99771118164062,32.04179000854492
<|endoftext|>Education also plays a role.,470,148.6778564453125,21.436870574951172
"<|endoftext|>Women with at least a bachelor's degree have a 78 percent shot that their marriages will last 20 years, compared with a 41 percent chance among women with only a high school diploma, according to the NCHS data.",510,121.37909698486328,28.70811653137207
<|endoftext|>Age at marriage is also a predictor of marital success: Couples who wed in their teens are more likely to divorce than those who wait to marry.,537,104.37529754638672,19.058794021606445
"<|endoftext|>In addition, a person whose first child is born after the wedding is more likely to stay married than one who enters a marriage already a parent.",564,83.44817352294922,16.814815521240234
<|endoftext|>Another factor is finances.,567,506.4388427734375,73.59091186523438
"<|endoftext|>A 2009 report from the University of Virginia's National Marriage Project, for example, showed that couples with no assets are 70 percent more likely to divorce within three years than couples with $10,000 in assets.",607,35.62964630126953,15.506999969482422
"<|endoftext|>That comes as no surprise to Terri Orbuch, PhD, of the University of Michigan and Oakland University, who says arguments over money — how to spend, save and split it — plague even well-off couples.",647,227.0919189453125,89.47001647949219
"<|endoftext|>In her work with the Early Years of Marriage Project, a longitudinal study of 373 couples who married in 1986 (funded by the National Institutes of Health), Orbuch has found that seven out of 10 pairs name finances a cause of relationship trouble.",693,183.10533142089844,62.99052810668945
"<|endoftext|>""Money is the No.",697,468.6622314453125,633.4529418945312
"<|endoftext|>1 source of conflict or tension,"" she says.",708,280.91229248046875,20.722383499145508
<|endoftext|>Other predictors of divorce are more contextual than personal.,716,589.5745849609375,77.73776245117188
"<|endoftext|>Stress, for example, can cause even the strongest relationships to crumble, psychologists' research finds.",733,199.7602081298828,68.55744934082031
"<|endoftext|>In one 2012 study, graduate student April Buck, PhD, and social psychologist Lisa Neff, PhD, from the University of Texas at Austin, evaluated diaries of 165 newlywed couples.",766,254.30906677246094,69.45230102539062
"<|endoftext|>Every day for 14 days, each participant responded to prompts about stressful circumstances (such as getting stuck in traffic), the energy expended to handle those stressors, their positive and negative interactions with partners, and their levels of satisfaction with their relationships.",812,107.90914916992188,70.9293212890625
"<|endoftext|>Not surprisingly, the researchers found that on the most stressful days, spouses reported more negative behaviors toward their partners and less satisfaction with their relationships.",838,147.57064819335938,23.967754364013672
"<|endoftext|>The psychologists posit that the energy dedicated toward handling stressful events detracts from the energy needed to maintain a good relationship (, 2012).",862,214.3800048828125,82.76566314697266
"<|endoftext|>Couples who rarely get a chance to restore their ""reserves,"" such as those from low-income communities, can be particularly prone to marital dissatisfaction and divorce.",892,135.5172119140625,50.53602981567383
"<|endoftext|>In one study using data from about 4,500 respondents to the Florida Family Formation Survey, social psychologist Benjamin Karney, PhD, of the University of California, Los Angeles, and colleagues found that the marriages of lower-income couples were more likely to be hurt by stressful life events and mental health problems than the marriages of the more affluent couples.",959,69.45630645751953,21.579030990600586
"<|endoftext|>Analysis of the same data set found that all respondents — regardless of income level — reported similar problems within their relationships, such as wanting more affection and struggling to communicate effectively with their partners.",994,127.07283020019531,33.99724578857422
"<|endoftext|>Lower-income groups, however, experienced more problems related to economic and social issues such as drinking or drug abuse (, 2012).",1019,129.9871826171875,17.613773345947266
"<|endoftext|>""[Low-income couples] don't say, ‘If only we had more skills training and better communication,'"" says Karney.",1024,218.4399871826172,35.117950439453125
"<|endoftext|>""What they say is, ‘If only we had better jobs, more money, more health care, more child care, more time to spend together.'""",1024,79.11263275146484,12.069315910339355
<|endoftext|>He points to his work with military couples as an example of how strong social support can buffer against the type of chronic stress that can be toxic to a relationship.,1024,110.76948547363281,44.86309814453125
"<|endoftext|>His team's study found that military personnel are much more likely than civilians to be married and not as likely to be divorced compared with civilians of similar ages, races, employment statuses and education levels (, 2012).",1024,81.82852935791016,33.3157844543457
"<|endoftext|>""There's a lot of stress if you're [part of] a military family, but at the same time, there are lots of things that the military is doing to try to protect you from that stress, to try to make it better,"" says Karney.",1024,33.627845764160156,11.506352424621582
"<|endoftext|>That includes providing health care, child care and allowances for housing and children.",1024,144.24700927734375,48.42959976196289
"<|endoftext|>""It appears that those things are paying off.""",1024,228.69784545898438,26.162416458129883
<|endoftext|>Another predictor of divorce seems to be how a couple fares — and feels — even before they tie the knot.,1024,365.8274230957031,124.4762954711914
"<|endoftext|>One 2012 study of 232 newlyweds by researchers at UCLA, including Karney and led by doctoral student Justin Lavner, found that women who had reported premarital ""cold feet"" were more than two times as likely to be divorced four years later than couples in which the woman hadn't experienced doubts.",1024,153.0265655517578,57.7979850769043
"<|endoftext|>Men's feet, on the other hand, did not have such predictive powers — they were more likely to be cold in the first place (Journal of Family Psychology, 2012).",1024,65.84965515136719,28.608768463134766
<|endoftext|>Another study by the same team showed that marital trouble is also often evident soon after the vows.,1024,280.99481201171875,74.87122344970703
"<|endoftext|>The researchers found that couples whose relationship satisfaction declined during the first four years of marriage were most often those who had reported less satisfaction to begin with (, 2012).",1024,213.52232360839844,51.22179412841797
<|endoftext|>Orbuch's analysis suggests the trajectory from bad to worse is likely to continue throughout the marriage and eventually to lead to divorce.,1024,140.01206970214844,29.85331916809082
