target_sent,PPL_base,PPL_w_context
"In the latest , he found that 86 percent of the more than 1,000 18- to 29-year-old Americans surveyed expect their marriages to last a lifetime.",120.02484130859375,110.98138427734375
"The participants who didn't, Arnett presumes, don't plan to marry at all.",845.395263671875,776.7666015625
Yet statistics suggest that many of these young optimists are only kidding themselves.,111.13114929199219,85.0269546508789
"According to the latest national data from the National Center for Health Statistics (NCHS), the likelihood that a couple will celebrate their 20th wedding anniversary today isn't much greater than a coin toss: 52 percent for women and 56 percent for men.",53.13010787963867,47.83002471923828
"Although the rate of divorce has declined slowly and steadily since the early 1980s, the rate of marriage has diminished rapidly, with more people choosing to marry later in life (see ).",49.00653839111328,35.19743347167969
"As a result, experts routinely estimate that between 40 percent and 50 percent of marriages today will end in divorce.",38.10084915161133,20.923112869262695
"For decades, psychologists have been trying to answer the key question: What's going on when two people who once said ""I do"" to a lifetime together decide they're better off apart?",96.22677612304688,108.0979995727539
"Now, thanks to longitudinal studies of thousands of couples and emerging research on previously understudied partnerships, one answer is becoming more apparent: Why some couples stick together isn't so much a coin toss as a science.",501.8169860839844,380.5523376464844
"""Today, we have a pretty good idea of what's likely to make for a good marriage,"" says Stony Brook University researcher Arthur Aron, PhD.",61.03880310058594,49.10084915161133
"Some of those factors, including ethnic background and socioeconomic status, are beyond a couple's control.",65.64392852783203,56.45088577270508
"But, say psychologists, there are many behaviors, such as how a couple talks and fights and even the type of dates they go on, that can be learned and practiced — and can give a pair a fighting chance at 'til death do they part.",170.09722900390625,148.60549926757812
"Several demographic factors predict how well a marriage might fare, according to NCHS data.",224.36502075195312,162.0915069580078
"One is ethnicity: Asian women and foreign-born Hispanic men, for example, have the highest chance of the demographic groups studied that their marriages will last 20 years (70 percent), while black women have the lowest rate of reaching the two-decade mark (37 percent).",67.20143127441406,58.83211898803711
"For white men and women as well as black men, the chances are just more than 50 percent, NCHS reports.",63.931129455566406,44.92850875854492
Education also plays a role.,101.02440643310547,54.327999114990234
"Women with at least a bachelor's degree have a 78 percent shot that their marriages will last 20 years, compared with a 41 percent chance among women with only a high school diploma, according to the NCHS data.",35.72344207763672,28.430484771728516
Age at marriage is also a predictor of marital success: Couples who wed in their teens are more likely to divorce than those who wait to marry.,92.99201202392578,57.265262603759766
"In addition, a person whose first child is born after the wedding is more likely to stay married than one who enters a marriage already a parent.",74.51481628417969,32.08208465576172
Another factor is finances.,616.834716796875,450.7353515625
"A 2009 report from the University of Virginia's National Marriage Project, for example, showed that couples with no assets are 70 percent more likely to divorce within three years than couples with $10,000 in assets.",110.26647186279297,82.0254135131836
"That comes as no surprise to Terri Orbuch, PhD, of the University of Michigan and Oakland University, who says arguments over money — how to spend, save and split it — plague even well-off couples.",118.03715515136719,120.97532653808594
"In her work with the Early Years of Marriage Project, a longitudinal study of 373 couples who married in 1986 (funded by the National Institutes of Health), Orbuch has found that seven out of 10 pairs name finances a cause of relationship trouble.",88.1949691772461,77.33015441894531
"""Money is the No.",226.32505798339844,214.6935577392578
"1 source of conflict or tension,"" she says.",153.14788818359375,104.72782135009766
Other predictors of divorce are more contextual than personal.,616.636474609375,264.2021484375
"Stress, for example, can cause even the strongest relationships to crumble, psychologists' research finds.",446.54559326171875,220.7255859375
"In one 2012 study, graduate student April Buck, PhD, and social psychologist Lisa Neff, PhD, from the University of Texas at Austin, evaluated diaries of 165 newlywed couples.",35.53749465942383,28.218021392822266
"Every day for 14 days, each participant responded to prompts about stressful circumstances (such as getting stuck in traffic), the energy expended to handle those stressors, their positive and negative interactions with partners, and their levels of satisfaction with their relationships.",82.82929992675781,78.0135498046875
"Not surprisingly, the researchers found that on the most stressful days, spouses reported more negative behaviors toward their partners and less satisfaction with their relationships.",157.72100830078125,59.390377044677734
"The psychologists posit that the energy dedicated toward handling stressful events detracts from the energy needed to maintain a good relationship (, 2012).",191.97337341308594,186.8524932861328
"Couples who rarely get a chance to restore their ""reserves,"" such as those from low-income communities, can be particularly prone to marital dissatisfaction and divorce.",233.8680877685547,165.47860717773438
"In one study using data from about 4,500 respondents to the Florida Family Formation Survey, social psychologist Benjamin Karney, PhD, of the University of California, Los Angeles, and colleagues found that the marriages of lower-income couples were more likely to be hurt by stressful life events and mental health problems than the marriages of the more affluent couples.",62.9873161315918,47.90831756591797
"Analysis of the same data set found that all respondents — regardless of income level — reported similar problems within their relationships, such as wanting more affection and struggling to communicate effectively with their partners.",161.650146484375,99.0823745727539
"Lower-income groups, however, experienced more problems related to economic and social issues such as drinking or drug abuse (, 2012).",58.90134048461914,42.121795654296875
"""[Low-income couples] don't say, ‘If only we had more skills training and better communication,'"" says Karney.",501.34844970703125,574.1553344726562
"""What they say is, ‘If only we had better jobs, more money, more health care, more child care, more time to spend together.'""",110.1072769165039,70.03247833251953
He points to his work with military couples as an example of how strong social support can buffer against the type of chronic stress that can be toxic to a relationship.,139.66493225097656,114.94770050048828
"His team's study found that military personnel are much more likely than civilians to be married and not as likely to be divorced compared with civilians of similar ages, races, employment statuses and education levels (, 2012).",85.84274291992188,80.50521087646484
"""There's a lot of stress if you're [part of] a military family, but at the same time, there are lots of things that the military is doing to try to protect you from that stress, to try to make it better,"" says Karney.",35.697296142578125,37.73162841796875
"That includes providing health care, child care and allowances for housing and children.",125.4827880859375,75.91346740722656
"""It appears that those things are paying off.""",259.2991638183594,306.3683776855469
Another predictor of divorce seems to be how a couple fares — and feels — even before they tie the knot.,382.84088134765625,271.876953125
"One 2012 study of 232 newlyweds by researchers at UCLA, including Karney and led by doctoral student Justin Lavner, found that women who had reported premarital ""cold feet"" were more than two times as likely to be divorced four years later than couples in which the woman hadn't experienced doubts.",101.80524444580078,74.45130920410156
"Men's feet, on the other hand, did not have such predictive powers — they were more likely to be cold in the first place (Journal of Family Psychology, 2012).",61.292606353759766,40.92739486694336
Another study by the same team showed that marital trouble is also often evident soon after the vows.,159.46949768066406,147.0793914794922
"The researchers found that couples whose relationship satisfaction declined during the first four years of marriage were most often those who had reported less satisfaction to begin with (, 2012).",148.52835083007812,74.4697036743164
Orbuch's analysis suggests the trajectory from bad to worse is likely to continue throughout the marriage and eventually to lead to divorce.,128.54847717285156,91.52555847167969
"By looking at how the Early Years of Marriage Project participants rated their marital happiness over time, she and her colleagues found couples tended to fit into two groups: those whose happiness started high and stayed that way, and those whose contentment started medium or low and got worse (Research in Human Development, 2012).",190.94557189941406,145.00164794921875
"Still, many happy honeymooners go on to divorce years later.",107.75617980957031,135.37648010253906
"Fortunately, psychologists are finding that many ways to strengthen a relationship's odds of survival are surprisingly simple.",227.98727416992188,162.06236267089844
"""You don't have to buy that $10,000 trip"" to keep your partner satisfied, says Orbuch.",996.6677856445312,1506.122314453125
What does work?,585.5951538085938,124.12664794921875
According to the latest research:,109.789306640625,90.90974426269531
Know that a little goes a long way.,180.31434631347656,188.86231994628906
"In the Early Years of Marriage Project, Orbuch found that three-fourths of the happy couples reported that their spouses made them feel cared for or special often, while less than half of the unhappy couples reported the same.",145.22695922851562,127.42700958251953
"""Doing or saying small things frequently to make your partner feel special, cared for and loved … is very predictive of staying together, being happy and [preventing] divorce,"" she says.",403.30029296875,339.898681640625
"These ""positive affirmations"" can be as simple as tucking a nice note in a spouse's wallet or giving a shoulder rub after a long day at work, she adds.",201.50942993164062,159.00860595703125
"Men seem to need these affirmations most, Orbuch's analysis suggests.",360.7908935546875,216.71299743652344
Men who didn't feel affirmed by their wives were twice as likely to divorce as those did.,365.1149597167969,259.17047119140625
The same effect didn't hold true for women.,649.9260864257812,491.5549011230469
Orbuch postulates that's because women are more likely to receive such affirmations from others — a hug from a friend or a compliment from a stranger in line at the deli.,129.41055297851562,121.08757019042969
"""Men don't get it from other people in their lives so they especially need it from their female partners or wives,"" she says.",193.71498107910156,150.53253173828125
Fight nice.,6653.8876953125,47046.2890625
"John Gottman, PhD, founder of the Gottman Institute and the University of Washington's Love Lab, says that 69 percent of marital conflict never gets resolved.",57.46831512451172,45.87151336669922
But research shows it's how couples handle those inevitable sore spots that matters.,1311.2926025390625,1024.0869140625
"""The people who have stable, happy relationships are much gentler with one another than people who have unhappy relationships or break up,"" says Gottman, who's known for his ability to predict which newlyweds will divorce with more than 90 percent accuracy by observing how they communicate (, 1992).",166.9019317626953,160.6322021484375
"""They're kinder, they're more considerate, they soften the way they raise a complaint.""",183.23486328125,227.55923461914062
"More recently, UCLA's Lavner led another study reevaluating how a couple's fighting style affected their marriages.",148.70352172851562,98.4119644165039
He looked at data from 136 couples over the 10 years since their weddings.,98.6041259765625,87.86725616455078
"After a decade, the most striking difference between the couples who had divorced and the ones who stayed together was how they had handled conflict during their first year of marriage.",63.396236419677734,66.15364074707031
The couples who as newlyweds had interacted with anger and pessimism when discussing difficult relationship issues were more likely to be divorced 10 years later.,119.73959350585938,97.11698913574219
"Couples' communication patterns proved to be more predictive of divorce than their reported levels of commitment, personality assessments and stress (, 2012).",211.84027099609375,139.55694580078125
"In the Early Years of Marriage Project, Orbuch also found that good communication set the happiest of couples apart from the less blissful.",127.29097747802734,103.32002258300781
"Partners who reported patterns of destructive behavior when dealing with conflict in the first year of marriage, for example, were more likely to divorce years later (, 2010).",85.9150619506836,69.38199615478516
Talk about more than the dishes.,442.5981750488281,1402.3951416015625
"But nice talk isn't enough, says Orbuch.",882.2297973632812,864.5349731445312
It also matters what you talk about.,140.61448669433594,118.63494110107422
"""Most couples think they're communicating with one another, but what they're really talking about is what I call ‘maintaining the household,'"" she says, or detailing to-do lists and divvying up chores.",150.32330322265625,153.56024169921875
"The happiest couples also share their hopes, dreams and fears.",446.67144775390625,276.6864013671875
"""They're spending time getting to know one another,"" Orbuch says.",58.93024826049805,53.91313171386719
"Gottman calls this ""the existential area.""",592.3380737304688,401.3578796386719
"Conversing about ""who are we, what's our mission and what's our legacy"" creates shared meaning and purpose in the relationship, he says.",331.9667053222656,272.55450439453125
Celebrate good times.,1326.7535400390625,1190.04345703125
Other research suggests that supporting a spouse when times are good might go further than doing so when life goes sour.,426.05126953125,273.5975036621094
"In a 2012 paper in the , Shelly Gable, PhD, of the University of California, Santa Barbara, and colleagues found that participants who felt supported by a partner during a positive event, such as receiving a high rating at work, felt better about themselves and about their relationships.",58.691375732421875,39.114200592041016
But feeling supported during negative events was inconsistently — and sometimes even negatively — linked to similar good feelings.,501.0325012207031,363.956787109375
The researchers explain that finding by comparing it to a fire alarm: Testing the alarm to find it works makes you happier and more satisfied than discovering it works because there is a fire.,278.2992248535156,296.5501708984375
"At that point, the distress of the fire distracts from the appreciation of the alarm.",61.05338668823242,43.34588623046875
Take risks.,378.9347839355469,393.4290466308594
"Few factors undermine a relationship more than boredom, says Orbuch.",512.7507934570312,329.3036804199219
"In the Early Years of Marriage Project, she and her colleagues, including Aron, found that couples reporting boredom in the seventh year of marriage were significantly less likely to be satisfied with the relationship by their 16th anniversary (, 2009).",74.619140625,81.12322998046875
"Growing used to your partner is natural, but it's a process that can be slowed down, says Sonja Lyubomirsky, PhD, a social psychologist at the University of California, Riverside, and author of the 2013 book ""The Myths of Happiness.""",85.72367095947266,88.14102935791016
"Her theory of hedonic adaptation holds that people are wired to become accustomed to positive changes in their lives, whether that change is a fresh outfit, a new job or a wedding band.",142.4639892578125,131.0383758544922
"""The positive emotions we get from the change get less and less frequent each time,"" she says.",194.31826782226562,146.43955993652344
"""So the question is, how do you thwart that process?",179.56092834472656,122.45154571533203
"How do you reduce it?""",613.282470703125,94.25544738769531
"Psychologists say the answer can be summed up in three words: novelty, variety and surprise.",125.3812255859375,66.6378402709961
"By trying new and exciting activities together, couples can rekindle feelings similar to ones they once had, Lyubomirsky says.",312.29937744140625,221.87388610839844
"The technique supports what Aron showed in a 1993 study: that spouses were more satisfied with their relationships when they were told to go on more exciting dates, such as hiking or going to parties.",112.0354995727539,87.65362548828125
Those who succumbed to the safer movie-rental routine didn't reap the same benefits.,522.6281127929688,525.720947265625
"""If you open yourself up to new opportunities and potential surprises with your partner, then that can slow down adaptation,"" says Lyubomirsky.",218.89031982421875,204.49085998535156
Know that love's not enough.,332.822265625,434.3402404785156
"Perhaps the most important lesson relationship research has taught us is that marriage, like any other commitment, takes conscious effort to preserve, says Nicholas Kirsch, PhD, a couples therapist in Bethesda, Md.",145.58395385742188,109.7153549194336
"""So many people do lifelong training in so many things — if you're a golf enthusiast you go to the driving range a couple times a week.",133.0150604248047,135.22467041015625
